"","parameter","coef"
"h(oxygen_flow_stn4-2.5)*h(33.2858-K__ppm_)*h(1.7-spare_dosing_pump_flow)","h(oxygen_flow_stn4-2.5)*h(33.2858-K__ppm_)*h(1.7-spare_dosing_pump_flow)",0.546918148564822
"h(oxygen_flow_stn4-2.5)*h(dissolved_oxygen_at_stn1-0.1)","h(oxygen_flow_stn4-2.5)*h(dissolved_oxygen_at_stn1-0.1)",3.79796236756538
"h(oxygen_flow_stn4-2.5)*h(0.1-dissolved_oxygen_at_stn1)","h(oxygen_flow_stn4-2.5)*h(0.1-dissolved_oxygen_at_stn1)",7.60873835357607
"h(oxygen_flow_stn4-2.5)*h(0.9-phosphoric_acid_flow)*h(magnesium_potassium_flow-2.4)","h(oxygen_flow_stn4-2.5)*h(0.9-phosphoric_acid_flow)*h(magnesium_potassium_flow-2.4)",78.6842611184178
"h(oxygen_flow_stn4-2.5)*h(0.9-phosphoric_acid_flow)*h(2.4-magnesium_potassium_flow)","h(oxygen_flow_stn4-2.5)*h(0.9-phosphoric_acid_flow)*h(2.4-magnesium_potassium_flow)",-5.20509435684954
"h(Productivity__kg_DCW_h_-2.70895)*h(K__ppm_-42.0204)","h(Productivity__kg_DCW_h_-2.70895)*h(K__ppm_-42.0204)",-0.0308301260314639
"h(2.70895-Productivity__kg_DCW_h_)*h(K__ppm_-42.0204)","h(2.70895-Productivity__kg_DCW_h_)*h(K__ppm_-42.0204)",-0.0758227273979213
"h(oxygen_flow_stn2-2.6)*h(K__ppm_-32.524)*h(magnesium_potassium_flow-1.9)","h(oxygen_flow_stn2-2.6)*h(K__ppm_-32.524)*h(magnesium_potassium_flow-1.9)",-39.8588205173863
"h(oxygen_flow_stn2-2.6)*h(32.524-K__ppm_)*h(magnesium_potassium_flow-1.9)","h(oxygen_flow_stn2-2.6)*h(32.524-K__ppm_)*h(magnesium_potassium_flow-1.9)",-0.781193110684231
"h(spare_dosing_pump_flow-0.3)","h(spare_dosing_pump_flow-0.3)",0.224617890141581
"h(0.3-spare_dosing_pump_flow)","h(0.3-spare_dosing_pump_flow)",-3.90137111134853
"h(oxygen_flow_stn2-2.9)*h(ferrus_sulphate_flow-1)","h(oxygen_flow_stn2-2.9)*h(ferrus_sulphate_flow-1)",-11.0125639435264
"h(oxygen_flow_stn2-2.9)*h(1-ferrus_sulphate_flow)","h(oxygen_flow_stn2-2.9)*h(1-ferrus_sulphate_flow)",-21.7708532276378
"h(12.6065-Final_OD)*h(spare_dosing_pump_flow-0.3)","h(12.6065-Final_OD)*h(spare_dosing_pump_flow-0.3)",-1.46974679700562
"h(Final_OD-1.59659)*h(0.3-spare_dosing_pump_flow)","h(Final_OD-1.59659)*h(0.3-spare_dosing_pump_flow)",2.05244158950927
"h(1.59659-Final_OD)*h(0.3-spare_dosing_pump_flow)","h(1.59659-Final_OD)*h(0.3-spare_dosing_pump_flow)",17.4404476622878
"h(O2_Ch4_ratio_staion4-1.86957)*h(oxygen_flow_stn4-2.5)*h(spare_dosing_pump_flow-1.7)","h(O2_Ch4_ratio_staion4-1.86957)*h(oxygen_flow_stn4-2.5)*h(spare_dosing_pump_flow-1.7)",1.71123921894535
"h(1.86957-O2_Ch4_ratio_staion4)*h(oxygen_flow_stn4-2.5)*h(spare_dosing_pump_flow-1.7)","h(1.86957-O2_Ch4_ratio_staion4)*h(oxygen_flow_stn4-2.5)*h(spare_dosing_pump_flow-1.7)",2.24601544446652
"h(Productivity__kg_DCW_h_-2.41854)*h(Final_OD-12.6065)*h(spare_dosing_pump_flow-0.3)","h(Productivity__kg_DCW_h_-2.41854)*h(Final_OD-12.6065)*h(spare_dosing_pump_flow-0.3)",-0.00544716617927295
"h(2.41854-Productivity__kg_DCW_h_)*h(Final_OD-12.6065)*h(spare_dosing_pump_flow-0.3)","h(2.41854-Productivity__kg_DCW_h_)*h(Final_OD-12.6065)*h(spare_dosing_pump_flow-0.3)",-0.126994156807991
